+----------+---------------+-------------+-------------+-------------+------------------+---------------------+-------------------+-------------------+-------------------+------------------------+---------------------+--------------------+-------------------+-------------------+------------------------+
|      date|percentage_zero|percentage_1p|percentage_2p|percentage_3p|percentage_4p_plus|max_total_amount_zero|max_total_amount_1p|max_total_amount_2p|max_total_amount_3p|max_total_amount_4p_plus|min_total_amount_zero| min_total_amount_1p|min_total_amount_2p|min_total_amount_3p|min_total_amount_4p_plus|
+----------+---------------+-------------+-------------+-------------+------------------+---------------------+-------------------+-------------------+-------------------+------------------------+---------------------+--------------------+-------------------+-------------------+------------------------+
|2020-01-01|           1.51|        63.14|        19.44|         5.72|             10.19|               145.55|              465.3|             281.42|              383.3|                  350.42|                  0.3|                 0.3|                0.3|               0.31|                     0.3|
|2020-01-02|           1.67|         68.0|        15.86|         4.71|              9.76|                108.3|             390.96|             210.65|             433.04|                   352.3|                  0.3|                 0.3|                0.3|                0.3|                     3.3|
|2020-01-03|           1.75|        68.12|        16.16|         4.54|              9.43|               187.42|             358.92|              370.3|             409.59|                   271.3|                  0.3|                 0.3|                0.3|                3.8|                     0.3|
|2020-01-04|           1.66|        65.28|         18.3|         5.11|              9.64|               152.54|              965.8|              481.3|              158.8|                   577.8|                  0.3|                 0.3|                0.3|                0.3|                     0.3|
|2020-01-05|           1.66|        67.01|         17.3|         4.76|              9.26|               435.42|             596.42|              375.3|             333.34|                  255.42|                  0.3|                 0.3|                0.3|               0.31|                     3.3|
|2020-01-06|           1.79|        72.89|        13.43|         3.68|              8.21|               275.42|             581.06|             276.36|              200.3|                  247.92|                  0.3|                 0.3|                0.3|  2.460000000000001|                     0.6|
|2020-01-07|           1.74|         73.1|        13.56|         3.45|              8.15|                114.8|             410.67|             312.96|              225.3|                   242.8|                  0.3|                 0.3|                3.3|                3.3|                     3.3|
|2020-01-08|           1.81|        73.21|        13.43|         3.49|              8.06|               319.03|             914.55|             282.36|             182.05|                  253.67|                  0.3|                 0.3|                0.3|                0.3|                     0.3|
|2020-01-09|           1.83|        73.38|        13.49|         3.46|              7.85|               114.75|              620.3|             272.67|              230.3|                   372.4|                  0.3|                 0.3|                0.3|                4.3|                     3.3|
|2020-01-10|            1.8|        71.33|        14.73|         3.91|              8.24|                253.3|             465.13|             245.05|             187.55|                   280.8|                  3.3|                 0.3|                0.3|                3.3|                     3.3|
|2020-01-11|           1.66|        67.07|        17.92|         4.64|              8.71|               143.45|             416.15|             228.02|              250.3|                  424.29|                  0.3|                 0.3|                0.3|                0.3|                     3.3|
|2020-01-12|           1.64|        68.18|        17.03|         4.55|               8.6|                161.8|              450.3|              431.6|             331.42|                  658.35|                  0.3|                 0.3|                0.3|               0.31|                     0.3|
|2020-01-13|           1.76|        74.01|        12.97|         3.51|              7.75|               276.29|             534.12|              400.3|             178.92|                   300.3|                  2.5|                 0.3|                0.3|                3.8|                     3.3|
|2020-01-14|           1.81|        73.69|         13.1|         3.42|              7.98|                172.3|             503.42|              330.5|              300.3|                  412.09|                  0.3|                 0.3|                0.3|                0.3|                     1.6|
|2020-01-15|           1.79|        73.65|        13.29|         3.32|              7.95|                322.8|             381.79|             408.95|             184.67|                  179.16|                  3.3|                 0.3|                0.3|                0.3|                     3.3|
|2020-01-16|           1.81|        73.41|        13.45|         3.43|               7.9|               112.36|             395.45|              290.6|             207.95|                  156.04|                  0.3|                 0.3|               0.31|                3.8|                     1.3|
|2020-01-17|           1.78|         71.6|         14.6|         3.92|               8.1|                281.3|              769.8|             360.96|             194.29|                  351.29|                  0.3|                 0.3|                0.3|                3.3|                     3.3|
|2020-01-18|           1.71|         66.6|        17.79|          4.7|              9.19|               166.92|             446.46|              387.6|             435.54|                  384.66|                  3.8|                 0.3|                0.3|                0.3|                     3.3|
|2020-01-19|           1.82|        66.64|        17.58|          4.9|              9.07|               160.92|              464.8|              407.8|             499.56|                  222.36|                  0.8|                 0.3|                0.3|                0.3|                     3.3|
|2020-01-20|           1.82|        70.37|        15.46|         4.23|              8.11|                226.3|             471.79|              617.3|             409.89|                   240.2|                  0.3|                 0.3|                0.3|                3.8|                     3.3|
|2020-01-21|           1.91|        73.54|        13.15|         3.38|              8.01|               216.12|             372.67|              335.0|             240.06|                  406.42|                  0.3|                 0.3|                0.3|                0.3|                     0.3|
|2020-01-22|           1.88|        73.87|         13.1|         3.29|              7.86|               246.42|             1110.8|             294.96|              144.2|                   264.2|                  3.8|                 0.3|                0.3|                3.8|                     3.3|
|2020-01-23|           1.84|        73.43|        13.29|          3.4|              8.04|               194.29|             553.14|             312.88|             170.74|                  290.05|                  3.8|                 0.3|                0.3|                0.3|                     0.3|
|2020-01-24|           1.92|        71.49|        14.65|         3.78|              8.16|               163.02|             735.17|             308.47|             275.69|                  367.35|                  0.3|                 0.3|                0.3|                0.3|                     0.3|
|2020-01-25|           1.69|        66.59|        18.01|         4.73|              8.99|               140.05|              350.3|             173.72|             272.23|                   153.8|                  0.3|0.010000000000001563|0.15000000000000036|               1.46|                     3.3|
|2020-01-26|           1.75|        67.95|        17.08|         4.56|              8.66|               186.35|             357.42|             345.34|             173.16|                  217.86|                  0.3|                 0.3|                0.3|                3.3|                     0.3|
|2020-01-27|           1.87|        73.63|        12.99|         3.46|              8.04|               156.17|             4268.3|              234.1|             318.29|                  238.55|                  3.3|                 0.3|                0.3|               3.15|                    0.31|
|2020-01-28|           1.85|        73.85|        13.09|         3.24|              7.98|               143.05|             1722.3|             298.12|             156.36|                   294.8|                  3.3|                 0.3|                0.3|                3.8|                     3.3|
|2020-01-29|           1.82|        74.09|        12.96|         3.26|              7.88|               209.17|              499.8|             454.19|             231.92|                  227.66|                  3.3|                 0.3|                0.3|                3.3|                     3.3|
|2020-01-30|           1.86|        73.88|        13.07|         3.36|              7.83|               137.35|              349.1|             243.49|              212.9|                  411.82|                  3.3|                 0.3|                0.3|                0.3|                     0.3|
|2020-01-31|           1.78|         72.1|        14.48|          3.7|              7.94|               159.77|             906.35|              272.8|             135.36|                  177.75|                  0.3|                 0.3|                0.3| 2.0600000000000005|                     3.3|
+----------+---------------+-------------+-------------+-------------+------------------+---------------------+-------------------+-------------------+-------------------+------------------------+---------------------+--------------------+-------------------+-------------------+------------------------+

